Financial Year,Quarter Ending,HSC Trust,Hospital,Programme of Care,Specialty,Total Available Beds,Average Available Beds,Total Occupied Beds,Average Occupied Beds,Total Inpatients,Total Day Case,Elective Inpatient,Non Elective Inpatient,Day Case,Regular Attenders
2006-2007,30-Jun-06,Southern,Craigavon Area,Acute Services,Clinical Oncology,0,0,0,0,6,576,6,0,67,509
2006-2007,30-Jun-06,Southern,Craigavon Area,Acute Services,Dermatology,17,0,17,0,8,103,4,4,103,0
2006-2007,30-Jun-06,Southern,Craigavon Area,Acute Services,Ear Nose Throat,"1,649",4.5,964,2.6,567,118,411,156,118,0
2006-2007,30-Jun-06,Southern,Craigavon Area,Acute Services,Gastroenterology,3,0,3,0,4,170,3,1,170,0
2006-2007,30-Jun-06,Southern,Craigavon Area,Acute Services,General Medicine,"11,445",31.4,"10,553",28.9,"1,412",7,13,"1,399",7,0
2006-2007,30-Jun-06,Southern,Craigavon Area,Acute Services,General Practice Other,0,0,0,0,0,111,0,0,111,0
2006-2007,30-Jun-06,Southern,Craigavon Area,Acute Services,General Surgery,"8,226",22.5,"6,504",17.8,"1,191",412,329,862,412,0
2006-2007,30-Jun-06,Southern,Craigavon Area,Acute Services,Gynaecology,"1,827",5,"1,381",3.8,481,210,254,227,210,0
2006-2007,30-Jun-06,Southern,Craigavon Area,Acute Services,Haematology Clinical,500,1.4,435,1.2,74,326,36,38,236,90
2006-2007,30-Jun-06,Southern,Craigavon Area,Acute Services,Oral Surgery,0,0,0,0,0,14,0,0,14,0
2006-2007,30-Jun-06,Southern,Craigavon Area,Acute Services,Paediatric Dentistry,0,0,0,0,0,18,0,0,18,0
2006-2007,30-Jun-06,Southern,Craigavon Area,Acute Services,Paediatrics,"3,329",9.1,"2,159",5.9,592,8,6,586,8,0
2006-2007,30-Jun-06,Southern,Craigavon Area,Acute Services,Palliative Medicine,0,0,0,0,0,8,0,0,8,0
2006-2007,30-Jun-06,Southern,Craigavon Area,Acute Services,Rheumatology,8,0,8,0,1,180,1,0,180,0
2006-2007,30-Jun-06,Southern,Craigavon Area,Acute Services,Thoracic Medicine,24,0.1,24,0.1,0,57,0,0,57,0
2006-2007,30-Jun-06,Southern,Craigavon Area,Acute Services,Urology,"2,515",6.9,"1,893",5.2,441,289,215,226,289,0
2006-2007,30-Jun-06,Southern,Craigavon Area,Elderly Care,Geriatric Medicine,"3,416",9.4,"3,399",9.3,311,1,0,0,0,0
2006-2007,30-Jun-06,Southern,Craigavon Area,Maternity & Child Health,Obstetrics,"4,447",12.2,"3,398",9.3,"1,158",0,0,0,0,0
2006-2007,30-Jun-06,Southern,Craigavon Area,Maternity & Child Health,Well Babies Paed,"3,903",10.7,"2,002",5.5,855,0,0,0,0,0
2006-2007,30-Jun-06,Southern,Daisy Hill,Acute Services,Cardiology,"1,056",2.9,756,2.1,252,12,1,251,12,0
2006-2007,30-Jun-06,Southern,Daisy Hill,Acute Services,Ear Nose Throat,347,1,5,0,5,98,5,0,98,0
2006-2007,30-Jun-06,Southern,Daisy Hill,Acute Services,General Medicine,"6,891",18.9,"5,913",16.2,879,105,10,869,105,0
2006-2007,30-Jun-06,Southern,Daisy Hill,Acute Services,General Practice Other,0,0,0,0,0,222,0,0,222,0
2006-2007,30-Jun-06,Southern,Daisy Hill,Acute Services,General Surgery,"4,587",12.6,"3,337",9.1,956,514,152,804,514,0
2006-2007,30-Jun-06,Southern,Daisy Hill,Acute Services,Gynaecology,643,1.8,425,1.2,199,115,88,111,115,0
2006-2007,30-Jun-06,Southern,Daisy Hill,Acute Services,Nephrology,217,0.6,217,0.6,40,"3,328",16,24,0,"3,328"
2006-2007,30-Jun-06,Southern,Daisy Hill,Acute Services,Oral Surgery,0,0,0,0,0,15,0,0,15,0
2006-2007,30-Jun-06,Southern,Daisy Hill,Acute Services,Paediatrics,"1,591",4.4,"1,033",2.8,411,0,26,385,0,0
2006-2007,30-Jun-06,Southern,Daisy Hill,Acute Services,Pain Management,0,0,0,0,0,4,0,0,4,0
2006-2007,30-Jun-06,Southern,Daisy Hill,Elderly Care,Geriatric Medicine,"2,977",8.2,"2,281",6.2,93,0,0,0,0,0
2006-2007,30-Jun-06,Southern,Daisy Hill,Maternity & Child Health,Obstetrics,"2,441",6.7,"1,540",4.2,610,0,0,0,0,0
2006-2007,30-Jun-06,Southern,Daisy Hill,Maternity & Child Health,Well Babies Paed,"2,456",6.7,"1,069",2.9,488,0,0,0,0,0
2006-2007,30-Jun-06,Southern,Longstone,Learning Disability,Learning Disability,"12,029",33,"10,521",28.8,76,0,0,0,0,0
2006-2007,30-Jun-06,Southern,Lurgan,Acute Services,Dermatology,506,1.4,429,1.2,62,0,56,6,0,0
2006-2007,30-Jun-06,Southern,Lurgan,Acute Services,Rehabilitation,"1,638",4.5,"1,525",4.2,14,0,0,14,0,0
2006-2007,30-Jun-06,Southern,Lurgan,Elderly Care,Geriatric Medicine,"6,182",16.9,"5,363",14.7,166,0,0,0,0,0
2006-2007,30-Jun-06,Southern,Mullinure,Elderly Care,Geriatric Medicine,"3,276",9,"2,932",8,86,0,0,0,0,0
2006-2007,30-Jun-06,Southern,Oaklands,Learning Disability,Learning Disability,546,1.5,339,0.9,127,0,0,0,0,0
2006-2007,30-Jun-06,Southern,South Tyrone,Acute Services,Ear Nose Throat,0,0,0,0,0,36,0,0,36,0
2006-2007,30-Jun-06,Southern,South Tyrone,Acute Services,Gastroenterology,0,0,0,0,0,156,0,0,156,0
2006-2007,30-Jun-06,Southern,South Tyrone,Acute Services,General Practice Other,0,0,0,0,0,108,0,0,108,0
2006-2007,30-Jun-06,Southern,South Tyrone,Acute Services,General Surgery,0,0,0,0,1,449,1,0,449,0
2006-2007,30-Jun-06,Southern,South Tyrone,Acute Services,Gynaecology,0,0,0,0,0,134,0,0,134,0
2006-2007,30-Jun-06,Southern,South Tyrone,Acute Services,Ophthalmology,0,0,0,0,0,155,0,0,155,0
2006-2007,30-Jun-06,Southern,South Tyrone,Acute Services,Pain Management,0,0,0,0,0,39,0,0,39,0
2006-2007,30-Jun-06,Southern,South Tyrone,Acute Services,Rheumatology,0,0,0,0,0,47,0,0,47,0
2006-2007,30-Jun-06,Southern,South Tyrone,Acute Services,Trauma & Orthopaedics Surgery,0,0,0,0,0,19,0,0,19,0
2006-2007,30-Jun-06,Southern,South Tyrone,Elderly Care,Geriatric Medicine,"3,185",8.7,"3,066",8.4,49,0,0,0,0,0
2006-2007,30-Jun-06,Southern,St Lukes,Mental Health,Mental Illness,"14,335",39.3,"11,270",30.9,193,0,0,0,0,0
2006-2007,30-Jun-06,Western,46023,Elderly Care,Geriatric Medicine,"1,365",3.7,"1,376",3.8,2,0,0,0,0,0
2006-2007,30-Jun-06,Western,Altnagelvin Area,Acute Services,Anaesthetics,928,2.5,637,1.7,0,20,0,0,20,0
2006-2007,30-Jun-06,Western,Altnagelvin Area,Acute Services,Cardiology,"3,658",10,"3,294",9,549,71,26,523,71,0
2006-2007,30-Jun-06,Western,Altnagelvin Area,Acute Services,Clinical Oncology,0,0,0,0,0,497,0,0,497,0
2006-2007,30-Jun-06,Western,Altnagelvin Area,Acute Services,Dermatology,783,2.1,482,1.3,62,15,56,6,15,0
2006-2007,30-Jun-06,Western,Altnagelvin Area,Acute Services,Ear Nose Throat,610,1.7,592,1.6,307,151,228,79,151,0
2006-2007,30-Jun-06,Western,Altnagelvin Area,Acute Services,General Medicine,"13,832",37.9,"12,504",34.3,"1,290",871,143,"1,147",871,0
2006-2007,30-Jun-06,Western,Altnagelvin Area,Acute Services,General Practice Other,0,0,0,0,0,237,0,0,237,0
2006-2007,30-Jun-06,Western,Altnagelvin Area,Acute Services,General Surgery,"6,161",16.9,"5,824",16,"1,040",506,248,792,506,0
2006-2007,30-Jun-06,Western,Altnagelvin Area,Acute Services,Gynaecology,"1,356",3.7,837,2.3,286,146,196,90,146,0
2006-2007,30-Jun-06,Western,Altnagelvin Area,Acute Services,Haematology Clinical,328,0.9,237,0.6,21,282,4,17,282,0
2006-2007,30-Jun-06,Western,Altnagelvin Area,Acute Services,Nephrology,0,0,0,0,3,668,2,1,2,666
2006-2007,30-Jun-06,Western,Altnagelvin Area,Acute Services,Neurology,127,0.3,127,0.3,11,0,0,11,0,0
2006-2007,30-Jun-06,Western,Altnagelvin Area,Acute Services,Ophthalmology,127,0.3,100,0.3,50,597,32,18,597,0
2006-2007,30-Jun-06,Western,Altnagelvin Area,Acute Services,Oral Surgery,200,0.5,164,0.4,119,157,87,32,157,0
2006-2007,30-Jun-06,Western,Altnagelvin Area,Acute Services,Other,0,0,0,0,33,0,0,33,0,0
2006-2007,30-Jun-06,Western,Altnagelvin Area,Acute Services,Paediatrics,"5,114",14,"2,712",7.4,771,19,50,721,19,0
2006-2007,30-Jun-06,Western,Altnagelvin Area,Acute Services,Palliative Medicine,27,0.1,27,0.1,3,3,1,2,3,0
2006-2007,30-Jun-06,Western,Altnagelvin Area,Acute Services,Radiology,0,0,0,0,0,9,0,0,9,0
2006-2007,30-Jun-06,Western,Altnagelvin Area,Acute Services,Trauma & Orthopaedics Surgery,"4,323",11.8,"4,050",11.1,669,112,296,373,112,0
2006-2007,30-Jun-06,Western,Altnagelvin Area,Acute Services,Urology,755,2.1,592,1.6,160,402,136,24,402,0
2006-2007,30-Jun-06,Western,Altnagelvin Area,Elderly Care,Geriatric Medicine,"3,312",9.1,"2,967",8.1,112,0,0,0,0,0
2006-2007,30-Jun-06,Western,Altnagelvin Area,Maternity & Child Health,Obstetrics,"3,003",8.2,"2,430",6.7,727,0,0,0,0,0
2006-2007,30-Jun-06,Western,Altnagelvin Area,Maternity & Child Health,Well Babies Paed,"1,292",3.5,"1,292",3.5,613,0,0,0,0,0
2006-2007,30-Jun-06,Western,Altnagelvin Area,Mental Health,Mental Illness,0,0,0,0,0,38,0,0,0,0
2006-2007,30-Jun-06,Western,Erne,Acute Services,Anaesthetics,2,0,2,0,2,72,2,0,72,0
2006-2007,30-Jun-06,Western,Erne,Acute Services,Cardiology,0,0,0,0,220,2,3,217,2,0
2006-2007,30-Jun-06,Western,Erne,Acute Services,General Medicine,"3,910",10.7,"3,298",9,477,239,9,468,239,0
2006-2007,30-Jun-06,Western,Erne,Acute Services,General Surgery,"3,604",9.9,"2,919",8,780,347,97,683,347,0
2006-2007,30-Jun-06,Western,Erne,Acute Services,Gynaecology,699,1.9,472,1.3,201,133,79,122,133,0
2006-2007,30-Jun-06,Western,Erne,Acute Services,Oral Surgery,2,0,2,0,2,82,2,0,82,0
2006-2007,30-Jun-06,Western,Erne,Acute Services,Paediatrics,"1,862",5.1,772,2.1,381,0,12,369,0,0
2006-2007,30-Jun-06,Western,Erne,Acute Services,Rehabilitation,857,2.3,523,1.4,22,0,0,22,0,0
2006-2007,30-Jun-06,Western,Erne,Elderly Care,Geriatric Medicine,"4,289",11.8,"3,880",10.6,112,0,0,0,0,0
2006-2007,30-Jun-06,Western,Erne,Maternity & Child Health,Obstetrics,"2,541",7,"1,214",3.3,423,0,0,0,0,0
2006-2007,30-Jun-06,Western,Erne,Maternity & Child Health,Well Babies Paed,691,1.9,691,1.9,254,0,0,0,0,0
2006-2007,30-Jun-06,Western,Gransha,Elderly Care,Old Age Psychiatry,"5,733",15.7,"4,734",13,41,0,0,0,0,0
2006-2007,30-Jun-06,Western,Gransha,Mental Health,Mental Illness,"4,914",13.5,"4,804",13.2,198,0,0,0,0,0
2006-2007,30-Jun-06,Western,Lakeview,Learning Disability,Learning Disability,"6,188",17,"5,730",15.7,76,0,0,0,0,0
2006-2007,30-Jun-06,Western,Tyrone and Fermanagh,Mental Health,Mental Illness,"11,830",32.4,"9,693",26.6,276,0,0,0,0,0
2006-2007,30-Jun-06,Western,Tyrone County,Acute Services,Accident & Emergency,69,0.2,20,0.1,23,0,0,23,0,0
2006-2007,30-Jun-06,Western,Tyrone County,Acute Services,Anaesthetics,0,0,0,0,0,19,0,0,19,0
2006-2007,30-Jun-06,Western,Tyrone County,Acute Services,Cardiology,0,0,0,0,243,1,1,242,1,0
2006-2007,30-Jun-06,Western,Tyrone County,Acute Services,Ear Nose Throat,595,1.6,386,1.1,210,87,173,37,87,0
2006-2007,30-Jun-06,Western,Tyrone County,Acute Services,General Medicine,"5,703",15.6,"4,431",12.1,852,"3,190",325,527,58,"3,132"
2006-2007,30-Jun-06,Western,Tyrone County,Acute Services,General Surgery,26,0.1,26,0.1,0,575,0,0,575,0
2006-2007,30-Jun-06,Western,Tyrone County,Acute Services,Gynaecology,0,0,0,0,0,65,0,0,65,0
2006-2007,30-Jun-06,Western,Tyrone County,Acute Services,Ophthalmology,0,0,0,0,0,46,0,0,46,0
2006-2007,30-Jun-06,Western,Tyrone County,Acute Services,Oral Surgery,0,0,0,0,0,68,0,0,68,0
2006-2007,30-Jun-06,Western,Tyrone County,Acute Services,Palliative Medicine,0,0,0,0,0,1,0,0,1,0
2006-2007,30-Jun-06,Western,Tyrone County,Acute Services,Rehabilitation,0,0,0,0,1,0,0,1,0,0
2006-2007,30-Jun-06,Western,Tyrone County,Elderly Care,Geriatric Medicine,"4,026",11,"3,471",9.5,58,2,0,0,0,0
2006-2007,30-Jun-06,Western,Waterside,Acute Services,General Medicine,0,0,0,0,1,0,0,1,0,0
2006-2007,30-Jun-06,Western,Waterside,Elderly Care,Geriatric Medicine,"1,638",4.5,975,2.7,31,0,0,0,0,0
2006-2007,30-Jun-06,Western,Waterside,Elderly Care,Geriatric Medicine,"5,005",13.7,"4,250",11.6,12,0,0,0,0,0
2006-2007,30-Sep-06,Belfast,Beechcroft,Mental Health,Child & Adolescent Psychiatry,736,2,385,1.1,1,95,0,0,0,0
2006-2007,30-Sep-06,Belfast,Belfast City,Acute Services,Accident & Emergency,305,0.8,2,0,3,0,0,3,0,0
2006-2007,30-Sep-06,Belfast,Belfast City,Acute Services,Cardiology,"3,698",10.1,"2,579",7.1,773,249,320,453,248,1
2006-2007,30-Sep-06,Belfast,Belfast City,Acute Services,Chemical Pathology,5,0,5,0,1,0,0,1,0,0
2006-2007,30-Sep-06,Belfast,Belfast City,Acute Services,Clinical Genetics,0,0,0,0,0,10,0,0,10,0
2006-2007,30-Sep-06,Belfast,Belfast City,Acute Services,Clinical Oncology,21,0.1,21,0.1,6,"1,204",1,5,"1,204",0
2006-2007,30-Sep-06,Belfast,Belfast City,Acute Services,Dermatology,"1,421",3.9,937,2.6,71,"1,453",66,5,0,"1,453"
2006-2007,30-Sep-06,Belfast,Belfast City,Acute Services,Ear Nose Throat,"2,042",5.6,600,1.6,412,92,360,52,92,0
2006-2007,30-Sep-06,Belfast,Belfast City,Acute Services,Gastroenterology,153,0.4,153,0.4,43,498,38,5,498,0
2006-2007,30-Sep-06,Belfast,Belfast City,Acute Services,General Medicine,"11,347",31.1,"11,047",30.3,"1,370",3,15,"1,355",3,0
2006-2007,30-Sep-06,Belfast,Belfast City,Acute Services,General Surgery,"8,485",23.2,"7,986",21.9,"1,010",165,450,560,164,1
2006-2007,30-Sep-06,Belfast,Belfast City,Acute Services,Gynaecology,"2,076",5.7,"1,756",4.8,261,113,239,22,113,0
2006-2007,30-Sep-06,Belfast,Belfast City,Acute Services,Haematology Clinical,"3,066",8.4,"2,920",8,186,"1,037",53,133,"1,037",0
2006-2007,30-Sep-06,Belfast,Belfast City,Acute Services,Medical Oncology,29,0.1,29,0.1,13,"1,060",2,11,"1,060",0
2006-2007,30-Sep-06,Belfast,Belfast City,Acute Services,Nephrology,"6,655",18.2,"4,580",12.5,287,"9,390",225,62,215,"9,175"
2006-2007,30-Sep-06,Belfast,Belfast City,Acute Services,Pain Management,292,0.8,5,0,4,170,4,0,170,0
2006-2007,30-Sep-06,Belfast,Belfast City,Acute Services,Plastic Surgery,57,0.2,57,0.2,21,0,21,0,0,0
2006-2007,30-Sep-06,Belfast,Belfast City,Acute Services,Rheumatology,0,0,0,0,0,39,0,0,39,0
2006-2007,30-Sep-06,Belfast,Belfast City,Acute Services,Thoracic Medicine,"1,955",5.4,"1,692",4.6,167,183,128,39,183,0
2006-2007,30-Sep-06,Belfast,Belfast City,Acute Services,Thoracic Surgery,200,0.5,91,0.2,16,0,16,0,0,0
2006-2007,30-Sep-06,Belfast,Belfast City,Acute Services,Urology,"3,935",10.8,"3,390",9.3,684,"1,082",501,183,"1,082",0
2006-2007,30-Sep-06,Belfast,Belfast City,Elderly Care,Geriatric Medicine,"9,976",27.3,"9,464",25.9,309,0,0,0,0,0
2006-2007,30-Sep-06,Belfast,Forster Green,Acute Services,Neurology,"2,116",5.8,"1,834",5,85,0,83,2,0,0
2006-2007,30-Sep-06,Belfast,Forster Green,Elderly Care,Geriatric Medicine,"1,288",3.5,924,2.5,44,0,0,0,0,0
2006-2007,30-Sep-06,Belfast,Forster Green,Mental Health,Child & Adolescent Psychiatry,"1,840",5,"1,153",3.2,12,0,0,0,0,0
2006-2007,30-Sep-06,Belfast,Knockbracken,Elderly Care,Old Age Psychiatry,"12,880",35.3,"11,129",30.5,14,0,0,0,0,0
2006-2007,30-Sep-06,Belfast,Knockbracken,Mental Health,Forensic Psychiatry,"3,128",8.6,"2,027",5.6,1,0,0,0,0,0
2006-2007,30-Sep-06,Belfast,Knockbracken,Mental Health,Mental Illness,"14,076",38.6,"13,106",35.9,83,0,0,0,0,0
2006-2007,30-Sep-06,Belfast,Malone Place,Mental Health,Psychotherapy,"1,104",3,275,0.8,23,12,0,0,0,0
2006-2007,30-Sep-06,Belfast,Mater Infirmorum,Acute Services,Accident & Emergency,0,0,0,0,1,57,0,1,57,0
2006-2007,30-Sep-06,Belfast,Mater Infirmorum,Acute Services,Cardiology,"2,519",6.9,"2,504",6.9,452,15,22,430,15,0
2006-2007,30-Sep-06,Belfast,Mater Infirmorum,Acute Services,Ear Nose Throat,0,0,0,0,0,30,0,0,30,0
2006-2007,30-Sep-06,Belfast,Mater Infirmorum,Acute Services,General Medicine,"10,405",28.5,"9,872",27,"1,013",348,25,988,348,0
2006-2007,30-Sep-06,Belfast,Mater Infirmorum,Acute Services,General Surgery,"5,272",14.4,"3,823",10.5,584,211,150,434,211,0
2006-2007,30-Sep-06,Belfast,Mater Infirmorum,Acute Services,Gynaecology,691,1.9,517,1.4,201,47,107,94,47,0
2006-2007,30-Sep-06,Belfast,Mater Infirmorum,Acute Services,Ophthalmology,1,0,1,0,2,472,2,0,472,0
2006-2007,30-Sep-06,Belfast,Mater Infirmorum,Acute Services,Oral Surgery,0,0,0,0,0,116,0,0,116,0
2006-2007,30-Sep-06,Belfast,Mater Infirmorum,Acute Services,Pain Management,0,0,0,0,0,73,0,0,73,0
2006-2007,30-Sep-06,Belfast,Mater Infirmorum,Acute Services,Urology,580,1.6,275,0.8,86,179,75,11,179,0
2006-2007,30-Sep-06,Belfast,Mater Infirmorum,Maternity & Child Health,Obstetrics,"2,090",5.7,"1,250",3.4,396,0,0,0,0,0
2006-2007,30-Sep-06,Belfast,Mater Infirmorum,Maternity & Child Health,Well Babies Obs,725,2,725,2,271,0,0,0,0,0
2006-2007,30-Sep-06,Belfast,Mater Infirmorum,Maternity & Child Health,Well Babies Paed,40,0.1,40,0.1,15,0,0,0,0,0
2006-2007,30-Sep-06,Belfast,Mater Infirmorum,Mental Health,Mental Illness,"5,198",14.2,"5,001",13.7,163,0,0,0,0,0
2006-2007,30-Sep-06,Belfast,Muckamore Abbey,Learning Disability,Learning Disability,"29,256",80.2,"24,767",67.9,23,0,0,0,0,0
2006-2007,30-Sep-06,Belfast,Musgrave Park,Acute Services,Rehabilitation,"4,416",12.1,"3,043",8.3,49,175,33,16,175,0
2006-2007,30-Sep-06,Belfast,Musgrave Park,Acute Services,Rheumatology,"2,027",5.6,"1,209",3.3,149,"1,178",128,21,"1,178",0
2006-2007,30-Sep-06,Belfast,Musgrave Park,Acute Services,Trauma & Orthopaedics Surgery,"12,556",34.4,"7,587",20.8,"1,515",591,"1,431",84,591,0
2006-2007,30-Sep-06,Belfast,Musgrave Park,Elderly Care,Geriatric Medicine,"5,654",15.5,"4,698",12.9,117,1,0,0,0,0
2006-2007,30-Sep-06,Belfast,NI Cancer Centre,Acute Services,Clinical Oncology,"4,738",13,"4,738",13,566,1,463,103,1,0
2006-2007,30-Sep-06,Belfast,NI Cancer Centre,Acute Services,General Medicine,7,0,7,0,1,0,1,0,0,0
2006-2007,30-Sep-06,Belfast,NI Cancer Centre,Acute Services,Medical Oncology,"2,983",8.2,"1,282",3.5,302,0,234,68,0,0
2006-2007,30-Sep-06,Belfast,RBHSC,Acute Services,Anaesthetics,636,1.7,354,1,7,0,0,7,0,0
2006-2007,30-Sep-06,Belfast,RBHSC,Acute Services,Paediatrics,"9,053",24.8,"6,418",17.6,"1,714","1,003",488,"1,226","1,003",0
2006-2007,30-Sep-06,Belfast,Royal Maternity,Acute Services,Paediatrics,"4,140",11.3,"2,837",7.8,"1,388",0,0,"1,388",0,0
2006-2007,30-Sep-06,Belfast,Royal Maternity,Maternity & Child Health,Obstetrics,"7,003",19.2,"5,898",16.2,"1,700",295,0,0,0,0
2006-2007,30-Sep-06,Belfast,Royal Maternity,Maternity & Child Health,Well Babies Paed,"5,030",13.8,"2,983",8.2,"1,170",0,0,0,0,0
2006-2007,30-Sep-06,Belfast,Royal Victoria,Acute Services,Anaesthetics,"1,998",5.5,"1,952",5.3,50,0,4,46,0,0
2006-2007,30-Sep-06,Belfast,Royal Victoria,Acute Services,Cardiac Surgery,"3,742",10.3,"2,641",7.2,214,0,177,37,0,0
2006-2007,30-Sep-06,Belfast,Royal Victoria,Acute Services,Cardiology,"5,438",14.9,"3,978",10.9,736,459,470,266,459,0
2006-2007,30-Sep-06,Belfast,Royal Victoria,Acute Services,Dermatology,0,0,0,0,0,57,0,0,57,0
2006-2007,30-Sep-06,Belfast,Royal Victoria,Acute Services,Ear Nose Throat,"1,686",4.6,982,2.7,511,160,468,43,160,0
2006-2007,30-Sep-06,Belfast,Royal Victoria,Acute Services,Endocrinology,"1,177",3.2,899,2.5,150,35,68,82,35,0
2006-2007,30-Sep-06,Belfast,Royal Victoria,Acute Services,Gastroenterology,40,0.1,40,0.1,11,466,3,8,466,0
2006-2007,30-Sep-06,Belfast,Royal Victoria,Acute Services,General Medicine,"10,723",29.4,"9,495",26,"1,293",246,123,"1,170",246,0
2006-2007,30-Sep-06,Belfast,Royal Victoria,Acute Services,General Surgery,"10,507",28.8,"8,881",24.3,"1,210",416,492,718,416,0
2006-2007,30-Sep-06,Belfast,Royal Victoria,Acute Services,Genito-Urinary Medicine,84,0.2,84,0.2,7,1,1,6,1,0
2006-2007,30-Sep-06,Belfast,Royal Victoria,Acute Services,Gynaecology,"1,565",4.3,"1,043",2.9,487,413,167,320,413,0
2006-2007,30-Sep-06,Belfast,Royal Victoria,Acute Services,Infectious Diseases,250,0.7,58,0.2,0,0,0,0,0,0
2006-2007,30-Sep-06,Belfast,Royal Victoria,Acute Services,Neurology,"2,316",6.3,"2,287",6.3,188,108,76,112,108,0
2006-2007,30-Sep-06,Belfast,Royal Victoria,Acute Services,Neurosurgery,"3,277",9,"3,043",8.3,281,1,110,171,1,0
2006-2007,30-Sep-06,Belfast,Royal Victoria,Acute Services,Ophthalmology,"1,494",4.1,740,2,459,"1,900",398,61,"1,900",0
2006-2007,30-Sep-06,Belfast,Royal Victoria,Acute Services,Oral Surgery,326,0.9,325,0.9,102,58,54,48,58,0
2006-2007,30-Sep-06,Belfast,Royal Victoria,Acute Services,Paediatric Dentistry,0,0,0,0,0,1,0,0,1,0
2006-2007,30-Sep-06,Belfast,Royal Victoria,Acute Services,Paediatric Surgery,0,0,0,0,0,1,0,0,1,0
2006-2007,30-Sep-06,Belfast,Royal Victoria,Acute Services,Plastic Surgery,919,2.5,687,1.9,42,61,23,19,61,0
2006-2007,30-Sep-06,Belfast,Royal Victoria,Acute Services,Radiology,0,0,0,0,0,24,0,0,24,0
2006-2007,30-Sep-06,Belfast,Royal Victoria,Acute Services,Rheumatology,0,0,0,0,0,303,0,0,303,0
2006-2007,30-Sep-06,Belfast,Royal Victoria,Acute Services,Thoracic Surgery,"1,952",5.3,"1,598",4.4,256,98,178,78,98,0
2006-2007,30-Sep-06,Belfast,Royal Victoria,Acute Services,Trauma & Orthopaedics Surgery,"9,531",26.1,"9,433",25.8,978,45,60,918,45,0
2006-2007,30-Sep-06,Belfast,Royal Victoria,Acute Services,Urology,0,0,0,0,0,42,0,0,42,0
2006-2007,30-Sep-06,Belfast,Royal Victoria,Elderly Care,Geriatric Medicine,"10,066",27.6,"7,183",19.7,435,0,0,0,0,0
2006-2007,30-Sep-06,Belfast,Windsor House,Mental Health,Mental Illness,"3,281",9,"3,213",8.8,84,0,0,0,0,0
2006-2007,30-Sep-06,Northern,Antrim,Acute Services,Accident & Emergency,"2,188",6,454,1.2,334,0,1,333,0,0
2006-2007,30-Sep-06,Northern,Antrim,Acute Services,Anaesthetics,0,0,0,0,15,0,0,15,0,0
2006-2007,30-Sep-06,Northern,Antrim,Acute Services,Cardiology,"3,366",9.2,"3,102",8.5,477,26,13,464,26,0
2006-2007,30-Sep-06,Northern,Antrim,Acute Services,Clinical Oncology,0,0,0,0,0,200,0,0,200,0
2006-2007,30-Sep-06,Northern,Antrim,Acute Services,Ear Nose Throat,"1,350",3.7,837,2.3,457,87,329,128,87,0
2006-2007,30-Sep-06,Northern,Antrim,Acute Services,Gastroenterology,478,1.3,478,1.3,92,401,30,62,401,0
2006-2007,30-Sep-06,Northern,Antrim,Acute Services,General Medicine,"11,134",30.5,"10,727",29.4,"1,128",49,35,"1,093",49,0
2006-2007,30-Sep-06,Northern,Antrim,Acute Services,General Practice Other,0,0,0,0,0,66,0,0,66,0
2006-2007,30-Sep-06,Northern,Antrim,Acute Services,General Surgery,"5,602",15.3,"3,877",10.6,818,599,212,606,599,0
2006-2007,30-Sep-06,Northern,Antrim,Acute Services,Gynaecology,"1,456",4,"1,213",3.3,345,136,215,130,136,0
2006-2007,30-Sep-06,Northern,Antrim,Acute Services,Haematology Clinical,185,0.5,146,0.4,21,222,6,15,222,0
2006-2007,30-Sep-06,Northern,Antrim,Acute Services,Infectious Diseases,373,1,122,0.3,83,0,0,83,0,0
2006-2007,30-Sep-06,Northern,Antrim,Acute Services,Medical Oncology,0,0,0,0,0,412,0,0,412,0
2006-2007,30-Sep-06,Northern,Antrim,Acute Services,Nephrology,"2,097",5.7,"1,272",3.5,447,"4,238",433,14,9,"4,229"
2006-2007,30-Sep-06,Northern,Antrim,Acute Services,Oral Surgery,0,0,0,0,0,14,0,0,14,0
2006-2007,30-Sep-06,Northern,Antrim,Acute Services,Paediatrics,"3,138",8.6,"2,088",5.7,613,0,6,607,0,0
2006-2007,30-Sep-06,Northern,Antrim,Acute Services,Pain Management,733,2,579,1.6,0,79,0,0,79,0
2006-2007,30-Sep-06,Northern,Antrim,Acute Services,Palliative Medicine,2,0,2,0,0,0,0,0,0,0
2006-2007,30-Sep-06,Northern,Antrim,Acute Services,Rheumatology,772,2.1,36,0.1,9,23,7,2,23,0
2006-2007,30-Sep-06,Northern,Antrim,Maternity & Child Health,Obstetrics,"3,982",10.9,"3,075",8.4,704,0,0,0,0,0
2006-2007,30-Sep-06,Northern,Antrim,Maternity & Child Health,Well Babies Obs,"3,296",9,"1,608",4.4,534,0,0,0,0,0
2006-2007,30-Sep-06,Northern,Braid Valley,Acute Services,General Surgery,92,0.3,92,0.3,0,0,0,0,0,0
2006-2007,30-Sep-06,Northern,Braid Valley,Acute Services,Palliative Medicine,334,0.9,268,0.7,11,0,0,11,0,0
